<bound method Table.pformat of <Table masked=False length=25000>
  ID          RA              DEC        PRIOR  NOBS
int64      float64          float64      int64 int64
------ --------------- ----------------- ----- -----
111586  0.859772519349    0.791938943677     1     1
 35226   0.13403967792    0.773617748678     3     3
 11339  0.736097604908    0.213690369633     1     1
 18227  0.687282566173    0.192482723328     1     1
 91130   0.21025168377    0.825972260134     1     0
 73804  0.969644889012    0.706313095526     5     4
 85708  0.821272776534    0.085666308892     1     1
 95992  0.747550313173     0.25646720568     3     3
 41288   0.16202207364    0.868340036657     1     0
 76964  0.234932235947    0.901440267768     1     1
   ...             ...               ...   ...   ...
 54397  0.305735383518    0.167829214092     1     1
 78913  0.244328305929    0.352904409203     1     1
 44832   0.97363260744    0.341301151153     4     4
 48622  0.903080481746   0.0198760897435     1     1
  7518 0.0188652033647    0.228111130739     5     5
 88193  0.727105708471    0.777001047388     1     1
 12893  0.654779384819    0.868385476998     3     2
 29041  0.670991757492    0.392677529434     1     1
 44246  0.279235716398    0.926215440724     1     0
 91042 0.0335063226939 0.000631056798246     1     1>
